species;sex;age;season;weight;total_length;wither_height;neck_size;temperature;hematocrit;health_condition;haemoplasma;anaplasma;tick;microfilaria;trypanosome;babesia;bloodparasite;female_reproductive_status
Bt;F;A;W;3.98;52;43.5;13;NA;33;G;0;1;0;0;0;0;0;Female non pregnant non lactating
Bt;M;A;W;4.46;55;51;17;32.6;39;G;0;1;1;0;0;0;0;NA
Bt;F;A;W;4.3;54.5;NA;15.8;34.5;40;G;0;0;1;0;0;0;0;Female non pregnant non lactating
Bt;F;A;W;4.3;53;44;14;34.6;49;G;0;1;0;0;0;0;0;Female lactating with a young
Bt;M;A;W;4.6;50;43.5;14;NA;38;G;0;0;1;0;0;0;0;NA
Bt;F;A;W;4.3;53;46;14.5;< 32.00;32;G;0;1;0;1;0;0;1;Female lactating with a young
Bt;M;A;W;4.46;54;46.5;14;< 32.00;35;G;0;1;1;1;0;0;1;NA
Bt;M;A;W;4.96;53;45;14.5;< 32.00;48;G;0;1;0;0;0;0;0;NA
Bt;F;A;W;4;51.5;42;13.5;NA;35;G;0;1;0;1;0;0;1;Female lactating with a young
Bt;M;A;W;6.28;54;49;17.5;< 32.00;37;G;0;0;0;1;0;0;1;NA
Bt;F;A;W;4.2;55;44;16;34.1;43;G;0;1;0;0;0;0;0;Female non pregnant non lactating
Bt;F;A;W;5.12;54;47;17;NA;35;G;0;1;0;0;0;0;0;Female non pregnant non lactating
Bt;F;A;W;4.09;54;48;13;34.9;37;G;0;1;0;0;0;0;0;Female non pregnant non lactating
Bt;F;A;W;4.9;56;48;16;< 32.00;41;G;0;0;0;1;0;0;1;Female non pregnant non lactating
Bt;M;A;W;4.3;54;51;13;NA;42;G;0;0;0;0;0;0;0;NA
Bt;F;A;W;4.7;57;48;14.5;< 32.00;37;G;0;0;1;0;0;0;0;Female lactating with a young
Bt;F;A;W;4.8;66;45;14;< 32.00;36;G;0;1;0;1;0;0;1;Female non pregnant non lactating
Bt;F;A;W;4.6;51;46;17;NA;36;G;0;1;0;0;0;0;0;Female lactating with a young
Bt;M;A;W;3.74;52;46;16;< 32.00;NA;D;0;1;0;0;0;0;0;NA
Bt;M;A;W;4.9;55;46;18;NA;40;G;0;1;1;1;0;0;1;NA
Bt;F;A;W;4;54;43;14;NA;44;D;0;1;0;0;0;0;0;Female lactating with a young
