species;order;sex;hemoplasma;anaplasmataceae;apicomplexa
Caluromys_philander;Didelphimorphia;NA;0;0;0
Caluromys_philander;Didelphimorphia;NA;0;0;0
Caluromys_philander;Didelphimorphia;NA;0;0;0
Caluromys_philander;Didelphimorphia;NA;0;0;0
Caluromys_philander;Didelphimorphia;NA;0;0;0
Didelphis_marsupialis;Didelphimorphia;NA;1;0;0
Didelphis_marsupialis;Didelphimorphia;NA;0;0;0
Didelphis_marsupialis;Didelphimorphia;F;1;0;0
Didelphis_marsupialis;Didelphimorphia;F;0;0;0
Didelphis_marsupialis;Didelphimorphia;M;0;0;0
Didelphis_marsupialis;Didelphimorphia;F;1;0;0
Didelphis_marsupialis;Didelphimorphia;M;1;0;0
Didelphis_marsupialis;Didelphimorphia;M;0;0;0
Didelphis_marsupialis;Didelphimorphia;M;1;0;0
Didelphis_marsupialis;Didelphimorphia;F;1;0;0
Didelphis_marsupialis;Didelphimorphia;F;0;0;0
Didelphis_marsupialis;Didelphimorphia;F;1;0;0
Didelphis_marsupialis;Didelphimorphia;F;1;0;0
Didelphis_marsupialis;Didelphimorphia;NA;0;0;0
Didelphis_marsupialis;Didelphimorphia;F;0;0;0
Didelphis_marsupialis;Didelphimorphia;M;1;0;0
Didelphis_marsupialis;Didelphimorphia;M;0;0;0
Didelphis_marsupialis;Didelphimorphia;F;0;0;0
Didelphis_marsupialis;Didelphimorphia;M;1;0;1
Didelphis_marsupialis;Didelphimorphia;F;1;0;1
Didelphis_marsupialis;Didelphimorphia;M;1;0;1
Didelphis_marsupialis;Didelphimorphia;M;1;0;0
Didelphis_marsupialis;Didelphimorphia;M;0;0;1
Didelphis_marsupialis;Didelphimorphia;F;0;0;0
Didelphis_marsupialis;Didelphimorphia;M;1;0;0
Didelphis_marsupialis;Didelphimorphia;F;1;0;0
Didelphis_marsupialis;Didelphimorphia;F;0;0;0
Didelphis_marsupialis;Didelphimorphia;M;1;0;0
Didelphis_marsupialis;Didelphimorphia;M;1;1;0
Didelphis_marsupialis;Didelphimorphia;M;1;0;1
Didelphis_marsupialis;Didelphimorphia;M;1;0;0
Didelphis_marsupialis;Didelphimorphia;M;1;0;1
Didelphis_marsupialis;Didelphimorphia;F;1;0;1
Didelphis_marsupialis;Didelphimorphia;M;1;0;0
Didelphis_marsupialis;Didelphimorphia;F;1;0;0
Didelphis_marsupialis;Didelphimorphia;M;1;0;0
Didelphis_marsupialis;Didelphimorphia;NA;0;0;0
Didelphis_marsupialis;Didelphimorphia;NA;0;0;0
Didelphis_marsupialis;Didelphimorphia;NA;0;0;0
Didelphis_marsupialis;Didelphimorphia;NA;0;0;0
Didelphis_marsupialis;Didelphimorphia;NA;0;0;0
Didelphis_marsupialis;Didelphimorphia;NA;0;0;0
Didelphis_marsupialis;Didelphimorphia;NA;0;0;0
Didelphis_marsupialis;Didelphimorphia;NA;0;0;0
