species;dietinv;dietvet;dietplant;strata;stataAr;strataG;activitynocturnal;activitycrepuscular;activitydiurnal;bodymass;longevity;femalematurity;littersize
Caluromys_philander;20;10;70;Ar;1;0;1;1;0;229.25;7.616666667;309.26;4.34
Didelphis_marsupialis;20;60;20;S;1;1;1;0;0;1091.16;4;178;6.2
Marmosa_lepida;40;30;30;Ar;1;0;1;0;0;14;NA;NA;5
Marmosa_murina;40;30;30;Ar;1;0;1;0;0;26;12;406.92;5.5
Marmosops_parvidens;50;0;50;Ar;1;0;1;0;0;15;NA;NA;4.05
Metachirus_nudicaudatus;30;50;20;S;1;1;1;0;0;375;3;NA;5
Micoureus_demerarae;90;0;10;S;1;1;1;0;0;75.75;2.325;323.13;7.645
Philander_opossum;30;60;10;S;1;1;1;1;1;585.5;3.5;213.08;4.6
Bradypus_tridactylus;0;0;100;Ar;1;0;1;1;1;3849.99;25.82083333;601.59454;1
Choloepus_didactylus;0;0;100;Ar;1;0;1;0;0;5160;32.28333333;1270.87;1
Cyclopes_didactylus;100;0;0;Ar;1;0;1;0;0;329.5;2.3;NA;1
Tamandua_tetradactyla;100;0;0;S;1;1;1;1;1;5515.06;9.5;365.116;1
Cabassous_unicinctus;100;0;0;G;0;1;1;1;0;4799.99;7.483333333;NA;1
Dasypus_novemcinctus;100;0;0;G;0;1;1;0;0;4203.78;18.65;385.35594;4
Hydrochoerus_hydrochaeris;0;0;100;G;0;1;0;0;1;48144.91;12;457.7918;3.485
Holochilus_sciureus;10;0;90;G;0;1;1;0;0;170.96;NA;121.76;5
Hylaeamys_megacephalus;20;0;80;G;0;1;1;1;1;57;3.870833333;53.85;4.02
Hylaeamys_yunganus;20;0;80;G;0;1;1;1;1;60.5;NA;NA;NA
Neacomys_dubosti;20;0;80;G;0;1;1;0;0;17.31;NA;NA;NA
Neacomys_paracou;20;0;80;G;0;1;1;0;0;17.31;NA;NA;NA
Nectomys_rattus;30;40;30;G;0;1;1;0;0;248.8;2.658333333;NA;4.5
Oecomys_auyantepui;0;0;100;G;0;1;1;0;0;67.41;NA;NA;NA
Oecomys_bicolor;0;0;100;G;0;1;1;0;0;34;NA;92.8;3.15
Oligoryzomys_fulvescens;30;0;70;G;0;1;1;0;0;25;NA;NA;3.64
Makalata_didelphoides;0;0;100;S;1;1;1;0;0;398.66;3.091666667;NA;1.165
Mesomys_hispidus;0;0;100;Ar;1;0;1;0;0;175;NA;NA;0.97
Proechimys_cuvieri;0;0;100;G;0;1;1;0;0;330;NA;NA;NA
Proechimys_guyannensis;0;0;100;G;0;1;1;0;0;314.03;3.5;146.1023;2.28
Coendou_melanurus;0;0;100;Ar;1;0;1;0;0;1900;1.416666667;NA;0.97
Coendou_prehensilis;0;0;100;Ar;1;0;1;0;0;4399.97;17.31666667;578.284;1
Mus_musculus;20;0;80;G;0;1;1;0;0;16.25;5;53.355;6.07
Rattus_rattus;30;0;70;G;0;1;1;0;0;229.13;4.2;102.645;5.95
Sciurus_aestuans;0;0;100;Ar;1;0;0;0;1;185;8.066666667;NA;2.3
Leopardus_wiedii;0;80;20;S;1;1;1;1;0;3249.97;21;659;1.5
Puma_yagouaroundi;10;80;10;G;0;1;0;1;1;6875;16.775;803.5104;2.34
Eira_barbara;0;90;10;G;0;1;1;1;1;3910.03;18;700;2
Galictis_vittata;20;60;20;G;0;1;1;1;1;3200;11.15416667;NA;2
Lontra_longicaudis;10;90;0;G;0;1;1;1;0;6554.96;14.89166667;NA;3.095
Potos_flavus;10;10;80;Ar;1;0;1;0;0;3000;32;830.7777;1
Alouatta_seniculus_macconnelli;0;0;100;Ar;1;0;0;0;1;6320.06;25;1672.76256;1.2
Saguinus_midas;40;0;60;Ar;1;0;0;0;1;540;15.4;624.49108;2
Sapajus_apella;20;10;70;Ar;1;0;0;0;1;2500;45.08333333;1727.44808;1.05
Saimiri_sciureus;20;20;60;Ar;1;0;0;0;1;743.24;27;1090.58878;1
Pithecia_pithecia;0;30;70;Ar;1;0;0;0;1;1375.5;27.85;775.25464;1
